item_id,ingredient_id,ingredient_name,ingredient_category
25,51,milk,dairy
25,137,vanilla extract,sweetener
25,130,sugar,sweetener
25,88,marinara,sauce
26,2,beef,protein
26,157,pine nut,nut
26,79,hot sauce,sauce
27,26,broccoli,vegetable
27,74,rice noodles,grain
27,158,macadamia,nut
28,16,ground beef,protein
28,66,tortilla,grain
28,73,udon noodles,grain
29,121,raspberry,fruit
29,66,tortilla,grain
30,62,flour,grain
30,137,vanilla extract,sweetener
30,138,chocolate,sweetener
30,98,paprika,spice
31,107,cinnamon,spice
31,54,blue cheese,dairy
31,51,milk,dairy
31,90,tahini,sauce
32,49,butter,dairy
32,78,soy sauce,sauce
33,146,avocado oil,oil
33,11,duck,protein
34,26,broccoli,vegetable
34,37,garlic,vegetable
34,35,cabbage,vegetable
34,154,pistachio,nut
35,53,sour cream,dairy
35,141,olive oil,oil
35,28,bell pepper,vegetable
35,83,teriyaki,sauce
36,38,ginger,vegetable
37,83,teriyaki,sauce
37,116,pineapple,fruit
38,30,zucchini,vegetable
38,133,agave,sweetener
38,77,tomato sauce,sauce
38,110,curry powder,spice
39,8,lamb,protein
39,73,udon noodles,grain
39,113,lime,fruit
40,26,broccoli,vegetable
40,80,bbq sauce,sauce
40,114,orange,fruit
40,129,yuzu,fruit
41,105,coriander,spice
42,158,macadamia,nut
42,103,cayenne,spice
43,147,peanut oil,oil
43,151,almond,nut
43,154,pistachio,nut
44,148,chili oil,oil
44,61,bread,grain
44,80,bbq sauce,sauce
44,43,parmesan,dairy
45,71,sourdough,grain
45,86,pesto,sauce
45,147,peanut oil,oil
45,112,lemon,fruit
46,62,flour,grain
46,130,sugar,sweetener
46,49,butter,dairy
46,137,vanilla extract,sweetener
46,138,chocolate,sweetener
46,117,apple,fruit
46,156,hazelnut,nut
47,151,almond,nut
47,72,ramen noodles,grain
48,51,milk,dairy
48,137,vanilla extract,sweetener
48,130,sugar,sweetener
48,1,chicken,protein
49,62,flour,grain
49,130,sugar,sweetener
49,49,butter,dairy
49,138,chocolate,sweetener
49,91,hoisin,sauce
49,104,turmeric,spice
50,51,milk,dairy
50,137,vanilla extract,sweetener
50,130,sugar,sweetener
50,143,sesame oil,oil
50,119,strawberry,fruit
50,12,crab,protein
51,128,guava,fruit
52,51,milk,dairy
52,137,vanilla extract,sweetener
52,130,sugar,sweetener
52,124,grape,fruit
53,62,flour,grain
53,130,sugar,sweetener
53,49,butter,dairy
53,137,vanilla extract,sweetener
53,138,chocolate,sweetener
53,159,sesame seed,nut
53,92,oyster sauce,sauce
53,44,cheddar,dairy
53,65,oats,grain
54,95,salt,spice
54,51,milk,dairy
55,147,peanut oil,oil
56,62,flour,grain
56,130,sugar,sweetener
56,49,butter,dairy
56,137,vanilla extract,sweetener
56,138,chocolate,sweetener
56,1,chicken,protein
56,58,provolone,dairy
56,59,rice,grain
56,64,quinoa,grain
57,23,lettuce,vegetable
57,90,tahini,sauce
57,129,yuzu,fruit
58,81,ranch,sauce
59,115,mango,fruit
59,29,mushroom,vegetable
59,149,truffle oil,oil
59,105,coriander,spice
60,65,oats,grain
60,119,strawberry,fruit
60,139,caramel,sweetener
61,62,flour,grain
61,130,sugar,sweetener
61,137,vanilla extract,sweetener
61,138,chocolate,sweetener
61,135,molasses,sweetener
61,15,sausage,protein
61,5,salmon,protein
61,120,blueberry,fruit
62,24,spinach,vegetable
62,147,peanut oil,oil
62,153,walnut,nut
62,122,coconut,fruit
63,75,couscous,grain
63,147,peanut oil,oil
63,2,beef,protein
63,104,turmeric,spice
64,120,blueberry,fruit
64,28,bell pepper,vegetable
65,1,chicken,protein
65,71,sourdough,grain
66,119,strawberry,fruit
66,77,tomato sauce,sauce
66,23,lettuce,vegetable
67,155,pecan,nut
68,117,apple,fruit
68,114,orange,fruit
68,40,bok choy,vegetable
68,34,jalapeno,vegetable
69,40,bok choy,vegetable
70,12,crab,protein
71,134,brown sugar,sweetener
71,6,tuna,protein
72,155,pecan,nut
73,99,oregano,spice
73,104,turmeric,spice
73,11,duck,protein
73,113,lime,fruit
74,75,couscous,grain
74,158,macadamia,nut
74,84,sriracha,sauce
75,130,sugar,sweetener
75,49,butter,dairy
75,137,vanilla extract,sweetener
75,138,chocolate,sweetener
75,102,rosemary,spice
75,21,onion,vegetable
76,141,olive oil,oil
77,132,maple syrup,sweetener
77,96,pepper,spice
77,49,butter,dairy
78,62,flour,grain
78,130,sugar,sweetener
78,137,vanilla extract,sweetener
78,28,bell pepper,vegetable
78,75,couscous,grain
78,59,rice,grain
78,136,stevia,sweetener
79,94,salsa,sauce
80,110,curry powder,spice
81,75,couscous,grain
81,74,rice noodles,grain
81,41,cheese,dairy
81,73,udon noodles,grain
82,100,basil,spice
82,82,mayo,sauce
82,57,gouda,dairy
83,69,bagel,grain
83,55,swiss cheese,dairy
83,57,gouda,dairy
84,70,croissant,grain
84,95,salt,spice
85,22,tomato,vegetable
86,134,brown sugar,sweetener
86,114,orange,fruit
86,148,chili oil,oil
87,13,lobster,protein
87,60,pasta,grain
87,134,brown sugar,sweetener
88,143,sesame oil,oil
88,11,duck,protein
88,58,provolone,dairy
88,41,cheese,dairy
89,62,flour,grain
89,130,sugar,sweetener
89,49,butter,dairy
89,137,vanilla extract,sweetener
89,138,chocolate,sweetener
89,30,zucchini,vegetable
89,107,cinnamon,spice
89,102,rosemary,spice
89,96,pepper,spice
90,62,flour,grain
90,130,sugar,sweetener
90,49,butter,dairy
90,137,vanilla extract,sweetener
90,92,oyster sauce,sauce
90,18,pulled pork,protein
91,121,raspberry,fruit
92,123,peach,fruit
92,42,mozzarella,dairy
92,142,vegetable oil,oil
92,106,chili powder,spice
93,54,blue cheese,dairy
93,50,cream,dairy
93,105,coriander,spice
93,41,cheese,dairy
94,9,turkey,protein
94,10,bacon,protein
94,159,sesame seed,nut
95,22,tomato,vegetable
95,9,turkey,protein
95,1,chicken,protein
96,2,beef,protein
96,84,sriracha,sauce
96,98,paprika,spice
96,72,ramen noodles,grain
97,88,marinara,sauce
97,46,feta,dairy
97,70,croissant,grain
97,2,beef,protein
98,87,alfredo,sauce
99,104,turmeric,spice
99,85,aioli,sauce
100,14,scallops,protein
100,128,guava,fruit
101,39,scallion,vegetable
101,28,bell pepper,vegetable
101,137,vanilla extract,sweetener
102,42,mozzarella,dairy
102,77,tomato sauce,sauce
102,100,basil,spice
102,141,olive oil,oil
102,62,flour,grain
102,32,avocado,vegetable
103,53,sour cream,dairy
104,42,mozzarella,dairy
104,100,basil,spice
104,141,olive oil,oil
104,62,flour,grain
104,81,ranch,sauce
104,9,turkey,protein
104,150,peanut,nut
104,24,spinach,vegetable
105,5,salmon,protein
106,79,hot sauce,sauce
106,22,tomato,vegetable
107,40,bok choy,vegetable
107,62,flour,grain
108,42,mozzarella,dairy
108,77,tomato sauce,sauce
108,100,basil,spice
108,141,olive oil,oil
108,62,flour,grain
108,83,teriyaki,sauce
108,22,tomato,vegetable
109,55,swiss cheese,dairy
109,3,pork,protein
109,124,grape,fruit
109,23,lettuce,vegetable
110,60,pasta,grain
110,43,parmesan,dairy
110,100,basil,spice
110,77,tomato sauce,sauce
110,146,avocado oil,oil
111,122,coconut,fruit
111,18,pulled pork,protein
112,10,bacon,protein
113,27,carrot,vegetable
114,119,strawberry,fruit
114,14,scallops,protein
114,96,pepper,spice
115,42,mozzarella,dairy
115,77,tomato sauce,sauce
115,100,basil,spice
115,141,olive oil,oil
115,62,flour,grain
115,80,bbq sauce,sauce
115,146,avocado oil,oil
115,1,chicken,protein
116,87,alfredo,sauce
116,114,orange,fruit
116,48,ricotta,dairy
116,67,pita,grain
117,137,vanilla extract,sweetener
117,38,ginger,vegetable
117,118,banana,fruit
118,75,couscous,grain
118,66,tortilla,grain
118,80,bbq sauce,sauce
119,37,garlic,vegetable
120,42,mozzarella,dairy
120,100,basil,spice
120,141,olive oil,oil
120,153,walnut,nut
120,4,shrimp,protein
120,155,pecan,nut
121,60,pasta,grain
121,43,parmesan,dairy
121,141,olive oil,oil
121,77,tomato sauce,sauce
121,58,provolone,dairy
121,142,vegetable oil,oil
121,139,caramel,sweetener
122,9,turkey,protein
122,47,goat cheese,dairy
122,33,corn,vegetable
123,51,milk,dairy
123,32,avocado,vegetable
123,79,hot sauce,sauce
123,92,oyster sauce,sauce
124,85,aioli,sauce
124,42,mozzarella,dairy
124,143,sesame oil,oil
125,118,banana,fruit
126,60,pasta,grain
126,43,parmesan,dairy
126,141,olive oil,oil
126,100,basil,spice
126,132,maple syrup,sweetener
126,1,chicken,protein
126,96,pepper,spice
127,49,butter,dairy
127,86,pesto,sauce
128,41,cheese,dairy
128,89,chimichurri,sauce
129,100,basil,spice
129,141,olive oil,oil
129,62,flour,grain
129,25,kale,vegetable
130,91,hoisin,sauce
130,9,turkey,protein
130,10,bacon,protein
130,42,mozzarella,dairy
131,148,chili oil,oil
132,57,gouda,dairy
133,41,cheese,dairy
134,134,brown sugar,sweetener
135,147,peanut oil,oil
135,33,corn,vegetable
135,29,mushroom,vegetable
136,124,grape,fruit
136,136,stevia,sweetener
136,106,chili powder,spice
137,60,pasta,grain
138,65,oats,grain
138,144,coconut oil,oil
138,36,celery,vegetable
139,141,olive oil,oil
139,41,cheese,dairy
140,113,lime,fruit
140,32,avocado,vegetable
141,115,mango,fruit
142,123,peach,fruit
143,125,watermelon,fruit
144,120,blueberry,fruit
145,87,alfredo,sauce
145,73,udon noodles,grain
145,110,curry powder,spice
146,88,marinara,sauce
146,69,bagel,grain
146,137,vanilla extract,sweetener
146,10,bacon,protein
147,139,caramel,sweetener
147,66,tortilla,grain
147,91,hoisin,sauce
147,92,oyster sauce,sauce
148,67,pita,grain
149,110,curry powder,spice
149,4,shrimp,protein
149,9,turkey,protein
149,15,sausage,protein
150,86,pesto,sauce
150,73,udon noodles,grain
150,127,dragon fruit,fruit
150,137,vanilla extract,sweetener
151,62,flour,grain
152,105,coriander,spice
153,24,spinach,vegetable
153,124,grape,fruit
153,25,kale,vegetable
154,141,olive oil,oil
154,88,marinara,sauce
154,14,scallops,protein
154,116,pineapple,fruit
155,18,pulled pork,protein
156,42,mozzarella,dairy
156,77,tomato sauce,sauce
156,100,basil,spice
156,141,olive oil,oil
156,62,flour,grain
156,95,salt,spice
156,83,teriyaki,sauce
156,120,blueberry,fruit
157,34,jalapeno,vegetable
157,93,fish sauce,sauce
158,27,carrot,vegetable
158,145,canola oil,oil
158,56,brie,dairy
159,113,lime,fruit
159,87,alfredo,sauce
159,146,avocado oil,oil
160,121,raspberry,fruit
161,60,pasta,grain
161,43,parmesan,dairy
161,141,olive oil,oil
161,37,garlic,vegetable
161,77,tomato sauce,sauce
161,138,chocolate,sweetener
162,99,oregano,spice
162,152,cashew,nut
162,11,duck,protein
162,118,banana,fruit
163,62,flour,grain
164,123,peach,fruit
164,128,guava,fruit
164,53,sour cream,dairy
164,126,passion fruit,fruit
165,147,peanut oil,oil
166,82,mayo,sauce
166,157,pine nut,nut
167,132,maple syrup,sweetener
167,121,raspberry,fruit
167,39,scallion,vegetable
168,67,pita,grain
169,131,honey,sweetener
169,140,condensed milk,sweetener
170,28,bell pepper,vegetable
170,155,pecan,nut
170,145,canola oil,oil
170,137,vanilla extract,sweetener
171,77,tomato sauce,sauce
171,100,basil,spice
171,141,olive oil,oil
171,62,flour,grain
171,127,dragon fruit,fruit
171,126,passion fruit,fruit
171,55,swiss cheese,dairy
171,115,mango,fruit
172,60,pasta,grain
172,100,basil,spice
172,77,tomato sauce,sauce
172,56,brie,dairy
173,3,pork,protein
174,36,celery,vegetable
174,106,chili powder,spice
175,60,pasta,grain
175,37,garlic,vegetable
175,100,basil,spice
175,77,tomato sauce,sauce
175,49,butter,dairy
175,3,pork,protein
175,103,cayenne,spice
175,36,celery,vegetable
176,43,parmesan,dairy
176,141,olive oil,oil
176,37,garlic,vegetable
176,100,basil,spice
176,77,tomato sauce,sauce
176,126,passion fruit,fruit
176,84,sriracha,sauce
177,42,mozzarella,dairy
177,77,tomato sauce,sauce
177,100,basil,spice
177,62,flour,grain
177,122,coconut,fruit
177,104,turmeric,spice
177,106,chili powder,spice
178,30,zucchini,vegetable
178,48,ricotta,dairy
178,121,raspberry,fruit
178,78,soy sauce,sauce
179,117,apple,fruit
180,114,orange,fruit
181,39,scallion,vegetable
182,50,cream,dairy
182,20,prosciutto,protein
182,156,hazelnut,nut
183,158,macadamia,nut
183,63,noodles,grain
183,37,garlic,vegetable
183,138,chocolate,sweetener
184,94,salsa,sauce
184,31,cucumber,vegetable
184,39,scallion,vegetable
184,156,hazelnut,nut
185,73,udon noodles,grain
185,105,coriander,spice
185,147,peanut oil,oil
186,63,noodles,grain
186,70,croissant,grain
186,49,butter,dairy
186,117,apple,fruit
187,35,cabbage,vegetable
188,25,kale,vegetable
189,42,mozzarella,dairy
189,77,tomato sauce,sauce
189,100,basil,spice
189,141,olive oil,oil
189,62,flour,grain
189,73,udon noodles,grain
189,10,bacon,protein
190,126,passion fruit,fruit
190,98,paprika,spice
191,90,tahini,sauce
192,65,oats,grain
192,74,rice noodles,grain
192,75,couscous,grain
192,57,gouda,dairy
193,17,steak,protein
193,2,beef,protein
193,52,yogurt,dairy
193,30,zucchini,vegetable
194,72,ramen noodles,grain
194,43,parmesan,dairy
194,134,brown sugar,sweetener
194,123,peach,fruit
195,156,hazelnut,nut
195,85,aioli,sauce
195,41,cheese,dairy
195,69,bagel,grain
196,145,canola oil,oil
196,92,oyster sauce,sauce
197,48,ricotta,dairy
197,7,tofu,protein
197,5,salmon,protein
197,153,walnut,nut
198,24,spinach,vegetable
198,73,udon noodles,grain
199,91,hoisin,sauce
199,122,coconut,fruit
199,1,chicken,protein
200,14,scallops,protein
200,20,prosciutto,protein
200,19,chorizo,protein
200,2,beef,protein
201,97,cumin,spice
201,37,garlic,vegetable
201,90,tahini,sauce
201,89,chimichurri,sauce
202,153,walnut,nut
203,28,bell pepper,vegetable
204,142,vegetable oil,oil
205,153,walnut,nut
205,146,avocado oil,oil
205,13,lobster,protein
205,107,cinnamon,spice
206,113,lime,fruit
206,66,tortilla,grain
206,36,celery,vegetable
206,154,pistachio,nut
207,69,bagel,grain
208,156,hazelnut,nut
209,44,cheddar,dairy
209,63,noodles,grain
209,33,corn,vegetable
210,106,chili powder,spice
210,94,salsa,sauce
210,48,ricotta,dairy
210,146,avocado oil,oil
211,134,brown sugar,sweetener
211,6,tuna,protein
212,149,truffle oil,oil
212,69,bagel,grain
212,68,naan,grain
212,120,blueberry,fruit
213,79,hot sauce,sauce
213,124,grape,fruit
213,146,avocado oil,oil
214,45,cream cheese,dairy
214,22,tomato,vegetable
215,108,ginger powder,spice
215,130,sugar,sweetener
215,50,cream,dairy
215,96,pepper,spice
216,97,cumin,spice
216,37,garlic,vegetable
216,67,pita,grain
216,116,pineapple,fruit
216,18,pulled pork,protein
216,34,jalapeno,vegetable
216,95,salt,spice
217,143,sesame oil,oil
217,41,cheese,dairy
217,145,canola oil,oil
218,81,ranch,sauce
218,88,marinara,sauce
218,24,spinach,vegetable
219,57,gouda,dairy
219,46,feta,dairy
219,3,pork,protein
219,157,pine nut,nut
220,146,avocado oil,oil
220,94,salsa,sauce
221,145,canola oil,oil
222,127,dragon fruit,fruit
223,31,cucumber,vegetable
223,91,hoisin,sauce
223,90,tahini,sauce
224,81,ranch,sauce
224,46,feta,dairy
224,50,cream,dairy
225,19,chorizo,protein
225,93,fish sauce,sauce
225,32,avocado,vegetable
226,101,thyme,spice
226,98,paprika,spice
227,14,scallops,protein
227,59,rice,grain
227,88,marinara,sauce
228,156,hazelnut,nut
228,66,tortilla,grain
228,140,condensed milk,sweetener
229,50,cream,dairy
229,131,honey,sweetener
230,82,mayo,sauce
230,52,yogurt,dairy
230,86,pesto,sauce
230,25,kale,vegetable
231,155,pecan,nut
231,100,basil,spice
231,111,za'atar,spice
232,98,paprika,spice
232,129,yuzu,fruit
233,106,chili powder,spice
234,139,caramel,sweetener
234,2,beef,protein
234,86,pesto,sauce
234,151,almond,nut
235,159,sesame seed,nut
235,106,chili powder,spice
236,22,tomato,vegetable
236,65,oats,grain
236,90,tahini,sauce
236,110,curry powder,spice
237,65,oats,grain
237,93,fish sauce,sauce
237,28,bell pepper,vegetable
238,104,turmeric,spice
238,71,sourdough,grain
238,141,olive oil,oil
239,97,cumin,spice
239,37,garlic,vegetable
239,90,tahini,sauce
239,130,sugar,sweetener
239,82,mayo,sauce
240,121,raspberry,fruit
240,136,stevia,sweetener
240,133,agave,sweetener
240,24,spinach,vegetable
241,30,zucchini,vegetable
242,26,broccoli,vegetable
242,59,rice,grain
242,30,zucchini,vegetable
242,147,peanut oil,oil
243,63,noodles,grain
244,37,garlic,vegetable
244,67,pita,grain
244,108,ginger powder,spice
244,118,banana,fruit
244,134,brown sugar,sweetener
245,157,pine nut,nut
245,38,ginger,vegetable
245,133,agave,sweetener
245,57,gouda,dairy
246,40,bok choy,vegetable
246,140,condensed milk,sweetener
247,110,curry powder,spice
247,132,maple syrup,sweetener
247,57,gouda,dairy
248,22,tomato,vegetable
248,86,pesto,sauce
248,153,walnut,nut
248,9,turkey,protein
249,97,cumin,spice
249,90,tahini,sauce
249,67,pita,grain
249,142,vegetable oil,oil
249,148,chili oil,oil
250,32,avocado,vegetable
250,24,spinach,vegetable
250,134,brown sugar,sweetener
250,155,pecan,nut
251,92,oyster sauce,sauce
252,127,dragon fruit,fruit
252,125,watermelon,fruit
253,97,cumin,spice
253,37,garlic,vegetable
253,90,tahini,sauce
253,67,pita,grain
253,46,feta,dairy
254,19,chorizo,protein
254,78,soy sauce,sauce
255,121,raspberry,fruit
256,37,garlic,vegetable
256,90,tahini,sauce
256,88,marinara,sauce
256,78,soy sauce,sauce
256,47,goat cheese,dairy
257,25,kale,vegetable
257,96,pepper,spice
257,136,stevia,sweetener
257,22,tomato,vegetable
258,105,coriander,spice
258,71,sourdough,grain
258,5,salmon,protein
258,92,oyster sauce,sauce
259,87,alfredo,sauce
259,18,pulled pork,protein
260,75,couscous,grain
260,137,vanilla extract,sweetener
260,96,pepper,spice
260,123,peach,fruit
261,128,guava,fruit
262,95,salt,spice
262,149,truffle oil,oil
263,97,cumin,spice
263,37,garlic,vegetable
263,90,tahini,sauce
264,2,beef,protein
265,19,chorizo,protein
265,119,strawberry,fruit
266,83,teriyaki,sauce
267,97,cumin,spice
267,37,garlic,vegetable
267,67,pita,grain
267,158,macadamia,nut
267,28,bell pepper,vegetable
267,80,bbq sauce,sauce
267,78,soy sauce,sauce
268,37,garlic,vegetable
268,111,za'atar,spice
268,141,olive oil,oil
269,61,bread,grain
269,136,stevia,sweetener
270,142,vegetable oil,oil
270,76,farro,grain
270,27,carrot,vegetable
270,10,bacon,protein
271,68,naan,grain
271,147,peanut oil,oil
272,90,tahini,sauce
272,62,flour,grain
272,71,sourdough,grain
273,47,goat cheese,dairy
274,55,swiss cheese,dairy
274,135,molasses,sweetener
274,104,turmeric,spice
274,115,mango,fruit
275,97,cumin,spice
275,37,garlic,vegetable
275,67,pita,grain
275,66,tortilla,grain
276,132,maple syrup,sweetener
276,55,swiss cheese,dairy
277,40,bok choy,vegetable
277,48,ricotta,dairy
277,30,zucchini,vegetable
277,119,strawberry,fruit
278,113,lime,fruit
278,59,rice,grain
278,110,curry powder,spice
278,86,pesto,sauce
279,123,peach,fruit
279,84,sriracha,sauce
279,3,pork,protein
280,152,cashew,nut
280,125,watermelon,fruit
280,59,rice,grain
281,60,pasta,grain
281,158,macadamia,nut
281,144,coconut oil,oil
282,90,tahini,sauce
283,14,scallops,protein
283,98,paprika,spice
283,149,truffle oil,oil
284,94,salsa,sauce
284,21,onion,vegetable
284,51,milk,dairy
284,13,lobster,protein
285,72,ramen noodles,grain
285,54,blue cheese,dairy
285,108,ginger powder,spice
286,145,canola oil,oil
286,26,broccoli,vegetable
286,157,pine nut,nut
286,128,guava,fruit
287,75,couscous,grain
287,108,ginger powder,spice
288,2,beef,protein
288,117,apple,fruit
288,28,bell pepper,vegetable
289,83,teriyaki,sauce
290,67,pita,grain
290,66,tortilla,grain
290,18,pulled pork,protein
290,112,lemon,fruit
291,97,cumin,spice
291,37,garlic,vegetable
291,90,tahini,sauce
291,67,pita,grain
291,153,walnut,nut
292,97,cumin,spice
292,37,garlic,vegetable
292,67,pita,grain
292,89,chimichurri,sauce
292,23,lettuce,vegetable
292,143,sesame oil,oil
293,136,stevia,sweetener
294,151,almond,nut
294,25,kale,vegetable
294,69,bagel,grain
294,58,provolone,dairy
295,97,cumin,spice
295,37,garlic,vegetable
295,90,tahini,sauce
295,67,pita,grain
295,20,prosciutto,protein
296,138,chocolate,sweetener
296,19,chorizo,protein
296,150,peanut,nut
296,115,mango,fruit
297,121,raspberry,fruit
297,83,teriyaki,sauce
298,144,coconut oil,oil
299,138,chocolate,sweetener
299,40,bok choy,vegetable
299,6,tuna,protein
299,106,chili powder,spice
300,104,turmeric,spice
300,5,salmon,protein
300,158,macadamia,nut
300,69,bagel,grain
301,68,naan,grain
301,124,grape,fruit
301,33,corn,vegetable
301,154,pistachio,nut
302,89,chimichurri,sauce
302,58,provolone,dairy
302,33,corn,vegetable
303,94,salsa,sauce
304,36,celery,vegetable
305,98,paprika,spice
305,5,salmon,protein
306,117,apple,fruit
306,87,alfredo,sauce
306,35,cabbage,vegetable
307,148,chili oil,oil
307,1,chicken,protein
308,106,chili powder,spice
308,94,salsa,sauce
308,38,ginger,vegetable
308,13,lobster,protein
309,94,salsa,sauce
309,52,yogurt,dairy
309,119,strawberry,fruit
310,32,avocado,vegetable
311,150,peanut,nut
312,46,feta,dairy
312,101,thyme,spice
313,6,tuna,protein
313,119,strawberry,fruit
314,51,milk,dairy
314,137,vanilla extract,sweetener
314,130,sugar,sweetener
314,93,fish sauce,sauce
315,49,butter,dairy
315,142,vegetable oil,oil
315,149,truffle oil,oil
315,77,tomato sauce,sauce
316,51,milk,dairy
316,137,vanilla extract,sweetener
316,24,spinach,vegetable
316,110,curry powder,spice
317,47,goat cheese,dairy
317,81,ranch,sauce
317,20,prosciutto,protein
318,141,olive oil,oil
318,52,yogurt,dairy
319,62,flour,grain
319,130,sugar,sweetener
319,49,butter,dairy
319,137,vanilla extract,sweetener
319,138,chocolate,sweetener
319,156,hazelnut,nut
320,77,tomato sauce,sauce
321,103,cayenne,spice
321,94,salsa,sauce
321,51,milk,dairy
321,81,ranch,sauce
322,118,banana,fruit
323,62,flour,grain
323,130,sugar,sweetener
323,49,butter,dairy
323,137,vanilla extract,sweetener
323,138,chocolate,sweetener
323,107,cinnamon,spice
324,77,tomato sauce,sauce
324,133,agave,sweetener
324,146,avocado oil,oil
324,98,paprika,spice
325,94,salsa,sauce
326,75,couscous,grain
326,151,almond,nut
326,78,soy sauce,sauce
326,39,scallion,vegetable
327,51,milk,dairy
327,137,vanilla extract,sweetener
327,130,sugar,sweetener
327,45,cream cheese,dairy
328,62,flour,grain
328,49,butter,dairy
328,137,vanilla extract,sweetener
328,138,chocolate,sweetener
328,57,gouda,dairy
328,104,turmeric,spice
329,142,vegetable oil,oil
329,155,pecan,nut
329,65,oats,grain
330,62,flour,grain
330,49,butter,dairy
330,137,vanilla extract,sweetener
330,138,chocolate,sweetener
330,56,brie,dairy
330,125,watermelon,fruit
331,148,chili oil,oil
332,51,milk,dairy
332,137,vanilla extract,sweetener
332,130,sugar,sweetener
332,26,broccoli,vegetable
333,70,croissant,grain
333,121,raspberry,fruit
333,20,prosciutto,protein
334,152,cashew,nut
335,55,swiss cheese,dairy
336,58,provolone,dairy
336,23,lettuce,vegetable
336,143,sesame oil,oil
337,73,udon noodles,grain
337,50,cream,dairy
337,139,caramel,sweetener
338,64,quinoa,grain
338,17,steak,protein
338,116,pineapple,fruit
338,151,almond,nut
339,51,milk,dairy
339,67,pita,grain
340,132,maple syrup,sweetener
340,149,truffle oil,oil
341,6,tuna,protein
341,127,dragon fruit,fruit
342,75,couscous,grain
342,7,tofu,protein
342,141,olive oil,oil
343,94,salsa,sauce
343,73,udon noodles,grain
343,71,sourdough,grain
343,132,maple syrup,sweetener
344,120,blueberry,fruit
344,99,oregano,spice
344,2,beef,protein
344,67,pita,grain
345,114,orange,fruit
345,13,lobster,protein
345,144,coconut oil,oil
346,62,flour,grain
346,49,butter,dairy
346,137,vanilla extract,sweetener
346,138,chocolate,sweetener
346,1,chicken,protein
346,15,sausage,protein
346,4,shrimp,protein
347,51,milk,dairy
347,137,vanilla extract,sweetener
347,44,cheddar,dairy
347,65,oats,grain
347,109,garlic powder,spice
348,55,swiss cheese,dairy
349,113,lime,fruit
349,129,yuzu,fruit
349,76,farro,grain
350,62,flour,grain
350,49,butter,dairy
350,137,vanilla extract,sweetener
350,138,chocolate,sweetener
350,152,cashew,nut
351,21,onion,vegetable
351,88,marinara,sauce
351,146,avocado oil,oil
352,130,sugar,sweetener
352,49,butter,dairy
352,137,vanilla extract,sweetener
352,98,paprika,spice
352,60,pasta,grain
353,28,bell pepper,vegetable
354,57,gouda,dairy
354,98,paprika,spice
355,25,kale,vegetable
355,37,garlic,vegetable
355,44,cheddar,dairy
355,18,pulled pork,protein
356,131,honey,sweetener
356,136,stevia,sweetener
356,76,farro,grain
356,150,peanut,nut
357,34,jalapeno,vegetable
357,27,carrot,vegetable
358,144,coconut oil,oil
358,14,scallops,protein
359,91,hoisin,sauce
359,17,steak,protein
359,26,broccoli,vegetable
359,13,lobster,protein
360,89,chimichurri,sauce
360,63,noodles,grain
360,150,peanut,nut
360,135,molasses,sweetener
361,39,scallion,vegetable
361,116,pineapple,fruit
361,64,quinoa,grain
362,12,crab,protein
363,87,alfredo,sauce
364,56,brie,dairy
365,130,sugar,sweetener
365,137,vanilla extract,sweetener
365,41,cheese,dairy
366,13,lobster,protein
